"stem","heat_flux_kW_m2","original_split","released_split","audio_csv","video_100fps","background","heating_roi"
"30_5","30","train","train_50pct_representative","audio_csv/30_5.csv","video_100fps/30_5.mp4","background/30_5.jpg","Heating_ROI/30_5.png"
"30_6","30","train","train_50pct_representative","audio_csv/30_6.csv","video_100fps/30_6.mp4","background/30_6.jpg","Heating_ROI/30_6.png"
"30_7","30","train","train_50pct_representative","audio_csv/30_7.csv","video_100fps/30_7.mp4","background/30_7.jpg","Heating_ROI/30_7.png"
"30_8","30","train","train_50pct_representative","audio_csv/30_8.csv","video_100fps/30_8.mp4","background/30_8.jpg","Heating_ROI/30_8.png"
"30_9","30","train","train_50pct_representative","audio_csv/30_9.csv","video_100fps/30_9.mp4","background/30_9.jpg","Heating_ROI/30_9.png"
"40_1","40","train","train_50pct_representative","audio_csv/40_1.csv","video_100fps/40_1.mp4","background/40_1.jpg","Heating_ROI/40_1.png"
"40_2","40","train","train_50pct_representative","audio_csv/40_2.csv","video_100fps/40_2.mp4","background/40_2.jpg","Heating_ROI/40_2.png"
"40_3","40","train","train_50pct_representative","audio_csv/40_3.csv","video_100fps/40_3.mp4","background/40_3.jpg","Heating_ROI/40_3.png"
"40_4","40","train","train_50pct_representative","audio_csv/40_4.csv","video_100fps/40_4.mp4","background/40_4.jpg","Heating_ROI/40_4.png"
"40_5","40","train","train_50pct_representative","audio_csv/40_5.csv","video_100fps/40_5.mp4","background/40_5.jpg","Heating_ROI/40_5.png"
"40_7","40","train","train_50pct_representative","audio_csv/40_7.csv","video_100fps/40_7.mp4","background/40_7.jpg","Heating_ROI/40_7.png"
"40_8","40","train","train_50pct_representative","audio_csv/40_8.csv","video_100fps/40_8.mp4","background/40_8.jpg","Heating_ROI/40_8.png"
"40_9","40","train","train_50pct_representative","audio_csv/40_9.csv","video_100fps/40_9.mp4","background/40_9.jpg","Heating_ROI/40_9.png"
"100_1","100","train","train_50pct_representative","audio_csv/100_1.csv","video_100fps/100_1.mp4","background/100_1.jpg","Heating_ROI/100_1.png"
"100_2","100","train","train_50pct_representative","audio_csv/100_2.csv","video_100fps/100_2.mp4","background/100_2.jpg","Heating_ROI/100_2.png"
"100_4","100","train","train_50pct_representative","audio_csv/100_4.csv","video_100fps/100_4.mp4","background/100_4.jpg","Heating_ROI/100_4.png"
"200412_100_2","100","train","train_50pct_representative","audio_csv/200412_100_2.csv","video_100fps/200412_100_2.mp4","background/200412_100_2.jpg","Heating_ROI/200412_100_2.png"
"200412_100_3","100","train","train_50pct_representative","audio_csv/200412_100_3.csv","video_100fps/200412_100_3.mp4","background/200412_100_3.jpg","Heating_ROI/200412_100_3.png"
"200_1","200","train","train_50pct_representative","audio_csv/200_1.csv","video_100fps/200_1.mp4","background/200_1.jpg","Heating_ROI/200_1.png"
"200_2","200","train","train_50pct_representative","audio_csv/200_2.csv","video_100fps/200_2.mp4","background/200_2.jpg","Heating_ROI/200_2.png"
"200412_300_1","300","train","train_50pct_representative","audio_csv/200412_300_1.csv","video_100fps/200412_300_1.mp4","background/200412_300_1.jpg","Heating_ROI/200412_300_1.png"
"200412_300_2","300","train","train_50pct_representative","audio_csv/200412_300_2.csv","video_100fps/200412_300_2.mp4","background/200412_300_2.jpg","Heating_ROI/200412_300_2.png"
"300_1","300","train","train_50pct_representative","audio_csv/300_1.csv","video_100fps/300_1.mp4","background/300_1.jpg","Heating_ROI/300_1.png"
"300_12","300","train","train_50pct_representative","audio_csv/300_12.csv","video_100fps/300_12.mp4","background/300_12.jpg","Heating_ROI/300_12.png"
"300_13","300","train","train_50pct_representative","audio_csv/300_13.csv","video_100fps/300_13.mp4","background/300_13.jpg","Heating_ROI/300_13.png"
"300_2","300","train","train_50pct_representative","audio_csv/300_2.csv","video_100fps/300_2.mp4","background/300_2.jpg","Heating_ROI/300_2.png"
"300_3","300","train","train_50pct_representative","audio_csv/300_3.csv","video_100fps/300_3.mp4","background/300_3.jpg","Heating_ROI/300_3.png"
"200412_400_1","400","train","train_50pct_representative","audio_csv/200412_400_1.csv","video_100fps/200412_400_1.mp4","background/200412_400_1.jpg","Heating_ROI/200412_400_1.png"
"200412_500_3","500","train","train_50pct_representative","audio_csv/200412_500_3.csv","video_100fps/200412_500_3.mp4","background/200412_500_3.jpg","Heating_ROI/200412_500_3.png"
"200412_600_1","600","train","train_50pct_representative","audio_csv/200412_600_1.csv","video_100fps/200412_600_1.mp4","background/200412_600_1.jpg","Heating_ROI/200412_600_1.png"
"700_1","700","train","train_50pct_representative","audio_csv/700_1.csv","video_100fps/700_1.mp4","background/700_1.jpg","Heating_ROI/700_1.png"
"200412_800_1","800","train","train_50pct_representative","audio_csv/200412_800_1.csv","video_100fps/200412_800_1.mp4","background/200412_800_1.jpg","Heating_ROI/200412_800_1.png"
"895chf_3","895","train","train_50pct_representative","audio_csv/895chf_3.csv","video_100fps/895chf_3.mp4","background/895chf_3.jpg","Heating_ROI/895chf_3.png"
"200412_900_1","900","train","train_50pct_representative","audio_csv/200412_900_1.csv","video_100fps/200412_900_1.mp4","background/200412_900_1.jpg","Heating_ROI/200412_900_1.png"
